FIBONACCI INDEX,TYPE,WIDTH,RESULT,REAL TIME,USER TIME,SYS TIME,METHOD
1e+09,short,16,0,0.00,0.00,0.00,iterative
2e+09,short,16,1,0.00,0.00,0.00,iterative
3e+09,short,16,1,0.00,0.00,0.00,iterative
4e+09,short,16,2,0.00,0.00,0.00,iterative
5e+09,short,16,3,0.00,0.00,0.00,iterative
6e+09,short,16,5,0.00,0.00,0.00,iterative
7e+09,short,16,8,0.00,0.00,0.00,iterative
8e+09,short,16,13,0.00,0.00,0.00,iterative
9e+09,short,16,21,0.00,0.00,0.00,iterative
1e+10,short,16,0,0.00,0.00,0.00,iterative
10000,short,16,2788724563990792802,0.00,0.00,0.00,recursive
10005,short,16,-5994286946210029459,0.00,0.00,0.00,recursive
10010,short,16,-7808199623190876399,0.00,0.00,0.00,recursive
10015,short,16,349237567238088232,0.00,0.00,0.00,recursive
10020,short,16,-3966586383571905847,0.00,0.00,0.00,recursive
10025,short,16,-6389724504633772853,0.00,0.00,0.00,recursive
10030,short,16,-466579639705200766,0.02,0.01,0.00,recursive
10035,short,16,6924643532318570337,0.20,0.20,0.00,recursive
10040,short,16,1917522920960866477,2.26,2.25,0.00,recursive
10045,short,16,-8876092484531001648,25.15,25.04,0.10,recursive
